clase,precision,recall,f1_score,support
LUCES_ON,0.9786585365853658,0.9968944099378882,0.9876923076923076,322.0
LUCES_OFF,0.9876543209876543,0.9937888198757764,0.9907120743034056,322.0
AIRE_ON,0.9938271604938271,1.0,0.9969040247678018,322.0
AIRE_OFF,0.9968553459119497,0.984472049689441,0.990625,322.0
BOMBA_REGAR,0.975609756097561,0.9968847352024922,0.9861325115562404,321.0
RUIDO_FONDO,0.9959266802443992,0.9702380952380952,0.9829145728643216,504.0
macro avg,0.988088633386793,0.9903796849906156,0.9891634151973462,2113.0
weighted avg,0.9887696572416786,0.9886417415996214,0.9886266151968872,2113.0
