timestamp,predicted_class,confidence,accepted,arduino_command,vad_ms,preprocess_ms,inference_ms,decision_ms,serial_ms,ack_ms,total_ms,fps_inference,fps_total
2026-05-18T01:19:16,RUIDO_FONDO,0.9987,False,--,1308.43,39.27,228.91,0.08,0.00,0.00,1577.48,4.37,0.63
2026-05-18T01:19:17,RUIDO_FONDO,0.9999,False,--,528.39,26.68,177.30,0.10,0.00,0.00,733.30,5.64,1.36
2026-05-18T01:19:21,RUIDO_FONDO,1.0000,False,--,2786.18,21.18,151.71,0.06,0.00,0.00,2959.39,6.59,0.34
2026-05-18T01:19:24,RUIDO_FONDO,1.0000,False,--,2322.77,36.61,249.18,0.09,0.00,0.00,2611.74,4.01,0.38
2026-05-18T01:19:26,RUIDO_FONDO,0.9985,False,--,655.30,80.47,399.08,0.09,0.00,0.00,1136.05,2.51,0.88
2026-05-18T01:19:26,RUIDO_FONDO,0.9997,False,--,12.05,43.98,248.96,0.12,0.00,0.00,305.92,4.02,3.27
2026-05-18T01:19:28,RUIDO_FONDO,0.9991,False,--,1149.93,34.39,143.93,0.06,0.00,0.00,1329.41,6.95,0.75
2026-05-18T01:19:30,RUIDO_FONDO,0.9725,False,--,868.75,39.66,180.00,0.17,0.00,0.00,1089.28,5.56,0.92
2026-05-18T01:19:31,LUCES_OFF,0.7198,False,LUZ_OFF,475.28,49.83,237.11,0.07,0.00,0.00,762.61,4.22,1.31
2026-05-18T01:19:34,RUIDO_FONDO,0.9992,False,--,1759.29,22.35,149.42,0.06,0.00,0.00,1931.75,6.69,0.52
2026-05-18T01:19:35,RUIDO_FONDO,0.9999,False,--,823.63,41.40,143.64,0.06,0.00,0.00,1009.29,6.96,0.99
2026-05-18T01:19:37,RUIDO_FONDO,1.0000,False,--,1012.11,23.06,124.69,0.06,0.00,0.00,1160.12,8.02,0.86
2026-05-18T01:19:41,RUIDO_FONDO,0.9987,False,--,3199.77,26.65,166.78,0.11,0.00,0.00,3394.07,6.00,0.29
2026-05-18T01:20:15,RUIDO_FONDO,0.9993,False,--,33401.83,53.18,207.25,0.10,0.00,0.00,33663.04,4.83,0.03
2026-05-18T01:20:18,RUIDO_FONDO,1.0000,False,--,2486.52,46.31,221.57,0.11,0.00,0.00,2755.69,4.51,0.36
2026-05-18T01:20:19,RUIDO_FONDO,0.9357,False,--,224.11,57.12,268.17,0.07,0.00,0.00,550.10,3.73,1.82
2026-05-18T01:20:24,RUIDO_FONDO,0.9846,False,--,4118.65,41.24,161.31,0.06,0.00,0.00,4321.59,6.20,0.23
2026-05-18T01:20:25,RUIDO_FONDO,0.9048,False,--,6.16,36.69,166.53,0.06,0.00,0.00,209.61,6.00,4.77
2026-05-18T01:20:26,RUIDO_FONDO,1.0000,False,--,1082.74,28.31,154.62,0.09,0.00,0.00,1266.15,6.47,0.79
2026-05-18T01:20:36,RUIDO_FONDO,0.8898,False,--,8464.94,33.32,172.96,0.07,0.00,0.00,8671.88,5.78,0.12
2026-05-18T01:20:38,BOMBA_REGAR,0.9994,True,BOMBA_REGAR,1941.73,61.69,264.26,0.08,0.00,0.00,2268.82,3.78,0.44
2026-05-18T01:20:48,BOMBA_REGAR,0.9807,True,BOMBA_REGAR,8519.15,57.59,272.58,0.09,0.00,0.00,8850.28,3.67,0.11
2026-05-18T01:20:51,RUIDO_FONDO,0.9140,False,--,2560.09,64.79,346.48,0.07,0.00,0.00,2972.33,2.89,0.34
2026-05-18T01:20:53,AIRE_ON,0.4960,False,AIRE_ON,727.08,54.63,440.39,0.07,0.00,0.00,1222.78,2.27,0.82
2026-05-18T01:20:57,RUIDO_FONDO,0.8560,False,--,2848.10,71.89,381.64,0.08,0.00,0.00,3302.88,2.62,0.30
2026-05-18T01:21:44,RUIDO_FONDO,0.9997,False,--,46788.97,27.53,212.37,0.06,0.00,0.00,47029.11,4.71,0.02
2026-05-18T01:21:50,RUIDO_FONDO,1.0000,False,--,4407.53,64.94,588.82,0.09,0.00,0.00,5061.65,1.70,0.20
2026-05-18T01:21:51,LUCES_ON,0.8996,True,LUZ_ON,488.64,31.45,438.75,0.15,0.00,0.00,959.82,2.28,1.04
2026-05-18T01:21:53,RUIDO_FONDO,0.9885,False,--,1268.96,60.68,351.28,0.07,0.00,0.00,1682.22,2.85,0.59
2026-05-18T01:22:03,RUIDO_FONDO,1.0000,False,--,8385.53,35.26,174.49,0.06,0.00,0.00,8596.02,5.73,0.12
2026-05-18T01:22:09,RUIDO_FONDO,0.9987,False,--,5638.67,29.69,160.62,0.06,0.00,0.00,5829.34,6.23,0.17
2026-05-18T01:22:12,RUIDO_FONDO,0.9966,False,--,2255.52,24.90,135.75,0.09,0.00,0.00,2416.64,7.37,0.41
2026-05-18T01:22:14,RUIDO_FONDO,0.9998,False,--,1936.75,26.01,126.92,0.09,0.00,0.00,2090.51,7.88,0.48
2026-05-18T01:22:19,RUIDO_FONDO,1.0000,False,--,4144.45,44.85,258.75,0.08,0.00,0.00,4448.81,3.86,0.22
2026-05-18T01:22:23,RUIDO_FONDO,0.9991,False,--,3139.89,14.65,111.69,0.06,0.00,0.00,3267.11,8.95,0.31
2026-05-18T01:22:24,AIRE_OFF,0.6529,False,AIRE_OFF,570.94,17.16,111.91,0.06,0.00,0.00,700.24,8.94,1.43
2026-05-18T01:23:04,RUIDO_FONDO,0.9618,False,--,38567.36,42.98,210.97,0.15,0.00,0.00,38821.79,4.74,0.03
2026-05-18T01:23:34,RUIDO_FONDO,1.0000,False,--,29093.31,63.43,201.49,0.07,0.00,0.00,29358.87,4.96,0.03
2026-05-18T01:23:39,LUCES_OFF,0.9547,True,LUZ_OFF,5180.99,46.19,220.37,0.08,0.00,0.00,5448.83,4.54,0.18
2026-05-18T01:23:41,RUIDO_FONDO,0.9642,False,--,825.67,42.89,178.64,0.07,0.00,0.00,1047.61,5.60,0.95
2026-05-18T01:23:49,RUIDO_FONDO,1.0000,False,--,6627.20,55.93,327.94,0.08,0.00,0.00,7014.98,3.05,0.14
2026-05-18T01:24:08,RUIDO_FONDO,0.9999,False,--,18258.09,88.96,345.08,0.09,0.00,0.00,18692.52,2.90,0.05
2026-05-18T01:24:11,RUIDO_FONDO,1.0000,False,--,2209.32,111.54,267.75,0.10,0.00,0.00,2589.35,3.73,0.39
2026-05-18T01:24:25,RUIDO_FONDO,1.0000,False,--,13616.19,40.07,186.54,0.16,0.00,0.00,13843.66,5.36,0.07
2026-05-18T01:24:26,RUIDO_FONDO,0.9999,False,--,13.69,113.91,274.94,0.14,0.00,0.00,403.38,3.64,2.48
2026-05-18T01:24:55,RUIDO_FONDO,1.0000,False,--,28409.82,53.39,179.46,0.08,0.00,0.00,28643.08,5.57,0.03
2026-05-18T01:25:00,RUIDO_FONDO,1.0000,False,--,3614.11,37.32,196.77,0.10,0.00,0.00,3849.52,5.08,0.26
2026-05-18T01:25:16,RUIDO_FONDO,1.0000,False,--,15513.12,39.41,177.87,0.11,0.00,0.00,15730.98,5.62,0.06
2026-05-18T01:25:17,RUIDO_FONDO,0.9997,False,--,480.61,49.69,199.15,0.08,0.00,0.00,730.01,5.02,1.37
2026-05-18T01:25:25,RUIDO_FONDO,0.5342,False,--,6751.27,196.42,437.60,0.11,0.00,0.00,7387.00,2.29,0.14
2026-05-18T01:25:26,RUIDO_FONDO,0.9062,False,--,150.20,68.84,494.72,0.61,0.00,0.00,715.37,2.02,1.40
2026-05-18T01:25:28,RUIDO_FONDO,1.0000,False,--,579.51,65.24,297.28,0.10,0.00,0.00,943.30,3.36,1.06
2026-05-18T01:26:00,RUIDO_FONDO,0.7055,False,--,31135.10,104.99,811.18,0.14,0.00,0.00,32051.86,1.23,0.03
2026-05-18T01:26:31,RUIDO_FONDO,0.9969,False,--,29924.67,51.41,264.93,0.09,0.00,0.00,30241.78,3.77,0.03
2026-05-18T01:26:33,RUIDO_FONDO,0.9988,False,--,780.77,80.74,415.95,0.16,0.00,0.00,1278.83,2.40,0.78
2026-05-18T01:26:37,RUIDO_FONDO,0.8468,False,--,3492.08,31.33,183.56,0.09,0.00,0.00,3707.28,5.45,0.27
2026-05-18T01:26:38,RUIDO_FONDO,0.9998,False,--,482.45,37.08,163.27,0.06,0.00,0.00,683.04,6.12,1.46
2026-05-18T01:26:40,RUIDO_FONDO,0.9997,False,--,997.18,31.19,179.07,0.07,0.00,0.00,1207.97,5.58,0.83
2026-05-18T01:26:44,RUIDO_FONDO,0.9872,False,--,3139.21,26.85,130.55,0.07,0.00,0.00,3297.03,7.66,0.30
2026-05-18T01:26:49,RUIDO_FONDO,0.9835,False,--,4589.36,40.96,122.45,0.07,0.00,0.00,4752.99,8.17,0.21
2026-05-18T01:26:50,RUIDO_FONDO,0.9988,False,--,135.01,31.93,190.16,0.09,0.00,0.00,357.56,5.26,2.80
2026-05-18T01:26:56,LUCES_ON,0.8954,True,LUZ_ON,5774.78,55.32,396.58,0.11,0.00,0.00,6227.25,2.52,0.16
2026-05-18T01:27:00,RUIDO_FONDO,1.0000,False,--,2442.35,67.20,428.39,0.11,0.00,0.00,2939.37,2.33,0.34
2026-05-18T01:27:01,RUIDO_FONDO,0.9999,False,--,91.88,90.88,491.95,0.12,0.00,0.00,675.54,2.03,1.48
2026-05-18T01:27:06,RUIDO_FONDO,1.0000,False,--,3707.69,41.27,170.83,0.08,0.00,0.00,3920.07,5.85,0.26
2026-05-18T01:27:09,RUIDO_FONDO,0.9907,False,--,2286.29,45.26,172.03,0.07,0.00,0.00,2503.85,5.81,0.40
2026-05-18T01:27:29,RUIDO_FONDO,1.0000,False,--,19130.43,58.73,357.55,0.08,0.00,0.00,19547.31,2.80,0.05
2026-05-18T01:27:33,RUIDO_FONDO,1.0000,False,--,4025.33,77.16,296.29,0.15,0.00,0.00,4401.80,3.38,0.23
2026-05-18T01:27:37,RUIDO_FONDO,1.0000,False,--,2213.45,62.66,318.67,0.11,0.00,0.00,2595.51,3.14,0.39
2026-05-18T01:27:43,RUIDO_FONDO,1.0000,False,--,5361.34,33.14,208.94,0.08,0.00,0.00,5603.73,4.79,0.18
2026-05-18T01:27:52,RUIDO_FONDO,0.9980,False,--,8657.02,39.83,198.67,0.08,0.00,0.00,8896.18,5.03,0.11
